"ID","Area","Issue","Priority","Stage","Implementation note","Status","Evidence"
"BASE-01","T14A","Overview compacting","COMPLETE / VERIFY","Baseline","Overview compact layout already passed T14A.","PASS","Stage0-1 retained and focused tests"
"BASE-02","T14A","Insights award selection/cap/empty state","COMPLETE / VERIFY","Baseline","Do not reopen unless regression.","PASS","Stage0-1 retained and focused tests"
"BASE-03","T14A","Cancel/Escape/discard focus","COMPLETE / VERIFY","Baseline","Keep current confirmation/focus behavior.","PASS","Stage0-1 retained and focused tests"
"INS-01","Insights","Filters layout redesign","MUST","Stage 3","Replace raw fieldset/giant-checkbox layout with compact Analysis Scope workbench.","PASS","Stage3 focused models; 562 regression; local 75-Dive browser fixtures; all four widths"
"INS-02","Insights","AND/OR/NOT advanced filtering","MUST","Stage 3","Add expression model without editing Dive records.","PASS","Stage3 focused models; 562 regression; local 75-Dive browser fixtures; all four widths"
"INS-03","Insights","Up to 9 configurable analysis cards","MUST","Stage 3","Metric + visualization registry; persist additive layout settings.","PASS","Stage3 focused models; 562 regression; local 75-Dive browser fixtures; all four widths"
"INS-04","Insights","Card title expand + data/source overlay","MUST","Stage 3","Real labels, include/exclude, source-record navigation.","PASS","Stage3 focused models; 562 regression; local 75-Dive browser fixtures; all four widths"
"INS-05","Insights","Environment rows clickable filter/unfilter","SHOULD","Stage 3","Click toggles current analysis scope.","PASS","Stage3 focused models; 562 regression; local 75-Dive browser fixtures; all four widths"
"INS-06","Insights","Topic/mind-map card","OPTIONAL","Stage 3","Only if canonical topics can be sourced without new graph store.","PENDING",""
"GEAR-01","Gear","Equipment general styling like Loadouts","NICE","Stage 4","Presentation only.","PASS","Stage4 focused12 + retained suites; regression574; typecheck/build/PWA; responsive390/820/1024/1440; local atomic linking verified"
"GEAR-02","Gear","Loadout read-only detail view","NICE","Stage 4","Click card/row to inspect without edit mode.","PASS","Stage4 focused12 + retained suites; regression574; typecheck/build/PWA; responsive390/820/1024/1440; local atomic linking verified"
