"ID","Requirement","Stage","Status","Evidence"
"W-01","Preserve existing Get weather, Open-Meteo atmospheric/marine and configuration","5W","PENDING",""
"W-02","Extensible server provider registry and normalized domain conditions","5W","PENDING",""
"W-03","Provider adapters with access-aware activation and server-only secrets","5W","PENDING",""
"W-04","Dive-site enrichment adapters with explicit provenance","5W","PENDING",""
"W-05","Depth-aware water temperature with SST separated from planned-depth readings","5W","PENDING",""
"W-06","Operator observations: Capernwray, Ellerton Park, Stoney Cove, Vobster","5W","PENDING",""
"W-07","Metric/site/geography/freshness-aware Auto selection and manual selection","5W","PENDING",""
"W-08","Numeric, qualitative and depth-specific visibility; tide datums separated","5W","PENDING",""
"W-09","Unified Water, Dive, Surface, Marine, Tide, Forecast and History presentation","5W","PENDING",""
"W-10","Offline successful cache, operator history and distinct actual Dive observations","5W","PENDING",""
"W-11","Weather and Conditions configuration/status without secrets","5W","PENDING",""
"W-12","Adapter/parser/unit/freshness/fallback/disagreement/privacy/responsive regression gate","5W","PENDING",""
